,location,total_sqft,bath,price,BHK,loaction
0,Electronic City Phase II,1056.0,2.0,39.07,2,Electronic City Phase II
1,Uttarahalli,1440.0,2.0,62.0,3,Uttarahalli
2,Lingadheeranahalli,1521.0,3.0,95.0,3,Lingadheeranahalli
3,Kothanur,1200.0,2.0,51.0,2,Kothanur
4,Whitefield,1170.0,2.0,38.0,2,Whitefield
5,Marathahalli,1310.0,3.0,63.25,3,Marathahalli
6,Whitefield,1800.0,2.0,70.0,3,Whitefield
7,7th Phase JP Nagar,1000.0,2.0,38.0,2,7th Phase JP Nagar
8,Gottigere,1100.0,2.0,40.0,2,Gottigere
9,Mysore Road,1175.0,2.0,73.5,2,Mysore Road
10,Bisuvanahalli,1180.0,3.0,48.0,3,Bisuvanahalli
11,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3,Raja Rajeshwari Nagar
12,other,1100.0,2.0,48.0,2,Manayata Tech Park
13,Kengeri,600.0,1.0,15.0,1,Kengeri
14,Binny Pete,1755.0,3.0,122.0,3,Binny Pete
15,Bellandur,1767.0,3.0,103.0,3,Bellandur
16,other,510.0,1.0,25.25,1,Thanisandra
17,other,1250.0,3.0,56.0,3,Mangammanapalya
18,Electronic City,660.0,1.0,23.1,2,Electronic City
19,Whitefield,1610.0,3.0,81.0,3,Whitefield
20,Ramagondanahalli,1151.0,2.0,48.77,2,Ramagondanahalli
21,Electronic City,1025.0,2.0,47.0,3,Electronic City
22,Bisuvanahalli,1075.0,2.0,35.0,3,Bisuvanahalli
23,Hebbal,1760.0,2.0,123.0,3,Hebbal
24,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3,Raja Rajeshwari Nagar
25,Kasturi Nagar,1925.0,3.0,125.0,3,Kasturi Nagar
26,Kanakpura Road,700.0,2.0,36.0,2,Kanakpura Road
27,Electronics City Phase 1,1070.0,2.0,45.5,2,Electronics City Phase 1
28,Kundalahalli,1724.0,3.0,125.0,3,Kundalahalli
29,Chikkalasandra,1290.0,2.0,56.12,3,Chikkalasandra
30,Uttarahalli,1143.0,2.0,45.0,2,Uttarahalli
31,Murugeshpalya,1296.0,2.0,81.0,2,Murugeshpalya
32,Sarjapur  Road,1254.0,3.0,38.0,3,Sarjapur  Road
33,other,600.0,1.0,38.0,1,Ganga Nagar
34,Yelahanka,660.0,1.0,48.0,1,Yelahanka
35,Kanakpura Road,1330.74,2.0,91.79,2,Kanakpura Road
36,Doddathoguru,970.0,2.0,33.0,2,Doddathoguru
37,Whitefield,1459.0,2.0,94.82,2,Whitefield
38,other,869.0,2.0,36.0,2,Himagiri Meadows
39,other,1270.0,2.0,50.0,2,Adarsh Nagar
40,Bhoganhalli,1670.0,3.0,99.0,3,Bhoganhalli
41,Lakshminarayana Pura,1185.0,2.0,75.0,2,Lakshminarayana Pura
42,Yelahanka,1600.0,2.0,75.0,3,Yelahanka
43,Begur Road,1200.0,2.0,44.0,2,Begur Road
44,other,840.0,2.0,45.0,2,Govindaraja Nagar Ward
45,other,845.0,2.0,55.0,2,Ganga Nagar
46,Varthur,1160.0,2.0,44.0,2,Varthur
47,Doddathoguru,1100.0,2.0,62.0,2,Doddathoguru
48,Gunjur,1140.0,2.0,43.0,2,Gunjur
49,Marathahalli,1220.0,2.0,57.0,2,Marathahalli
50,Kanakpura Road,1005.0,2.0,36.68,2,Kanakpura Road
51,Begur Road,1358.0,2.0,80.58,2,Begur Road
52,Hegde Nagar,1569.0,3.0,101.0,3,Hegde Nagar
53,Haralur Road,1240.0,2.0,70.0,2,Haralur Road
54,Kothannur,1206.0,2.0,48.23,2,Kothannur
55,Kalena Agrahara,1150.0,2.0,40.0,2,Kalena Agrahara
56,other,1660.0,2.0,105.0,3,Kodanda Reddy Layout
57,Yelahanka,1326.0,2.0,78.0,2,Yelahanka
58,Garudachar Palya,1325.0,2.0,60.8,3,Garudachar Palya
59,Kanakpura Road,1665.0,3.0,88.0,3,Kanakpura Road
60,Dasanapura,708.0,2.0,37.0,2,Dasanapura
61,Kasavanhalli,1060.0,2.0,58.06,2,Kasavanhalli
62,Sanjay nagar,1000.0,2.0,70.0,2,Sanjay nagar
63,Electronic City,1000.0,2.0,28.88,2,Electronic City
64,other,1450.0,2.0,70.0,3,Mysore Highway
65,Thanisandra,1296.0,2.0,80.0,2,Thanisandra
66,Domlur,1540.0,3.0,90.0,3,Domlur
67,Sarjapura - Attibele Road,1330.0,2.0,48.0,3,Sarjapura - Attibele Road
68,other,1200.0,2.0,65.0,2,Devasthanagalu
69,other,1200.0,3.0,90.0,3,T Dasarahalli
70,Chandapura,650.0,1.0,17.0,2,Chandapura
71,other,1007.0,2.0,43.0,2,Green View Layout
72,other,1200.0,2.0,50.0,2,Shantiniketan Layout
73,other,966.0,2.0,49.9,2,Peenya
74,Nagarbhavi,1630.0,2.0,98.0,3,Nagarbhavi
75,other,782.0,2.0,55.68,2,Jalahalli West
76,Devanahalli,1260.0,2.0,66.78,2,Devanahalli
77,other,1800.0,3.0,120.0,3,Lakshmiamma Garden
78,other,1413.0,2.0,75.0,3,Byatarayanapura
79,Whitefield,1116.0,2.0,51.91,2,Whitefield
80,Electronic City,1530.0,2.0,45.9,3,Electronic City
81,Kengeri,1540.0,2.0,64.0,3,Kengeri
82,Thanisandra,1436.0,3.0,74.75,3,Thanisandra
83,Malleshwaram,1100.0,2.0,75.0,2,Malleshwaram
84,Thanisandra,1427.0,3.0,120.0,3,Thanisandra
85,Devanahalli,1282.0,2.0,68.52,3,Devanahalli
86,Kadugodi,1050.0,2.0,34.0,2,Kadugodi
87,LB Shastri Nagar,1600.0,3.0,65.0,3,LB Shastri Nagar
88,other,945.0,2.0,54.0,2,Vajarahalli
89,Hormavu,1500.0,2.0,78.0,2,Hormavu
90,other,1870.0,3.0,110.0,3,Peenya
91,Sarjapur,1600.0,3.0,75.0,3,Sarjapur
92,Electronic City,880.0,1.0,16.5,2,Electronic City
93,Kudlu Gate,1535.0,3.0,83.0,3,Kudlu Gate
94,Kanakpura Road,950.0,2.0,57.0,2,Kanakpura Road
95,Devanahalli,1360.0,2.0,65.0,2,Devanahalli
96,8th Phase JP Nagar,1073.5,2.0,54.005,2,8th Phase JP Nagar
97,Bommasandra Industrial Area,1280.0,3.0,50.4,3,Bommasandra Industrial Area
98,other,1260.0,2.0,85.05,3,Chandra Layout
99,Kasavanhalli,1563.05,3.0,105.0,3,Kasavanhalli
100,ISRO Layout,1000.0,2.0,60.0,2,ISRO Layout
101,Anandapura,1167.0,2.0,43.76,2,Anandapura
102,Kothanur,1828.0,3.0,110.0,3,Kothanur
103,Kengeri Satellite Town,890.0,2.0,35.0,2,Kengeri Satellite Town
104,other,1612.0,3.0,46.74,3,Basavanapura
105,Kannamangala,957.0,2.0,58.0,2,Kannamangala
106, Devarachikkanahalli,1250.0,2.0,44.0,3,Devarachikkanahalli
107,Hulimavu,1125.0,2.0,50.0,2,Hulimavu
108,Electronic City Phase II,1020.0,2.0,30.6,2,Electronic City Phase II
109,Kalena Agrahara,1200.0,2.0,50.0,2,Kalena Agrahara
110,Thanisandra,1735.0,3.0,135.0,3,Thanisandra
111,other,1350.0,2.0,48.0,3,Yarandahalli
112,Hosa Road,1063.0,2.0,32.0,2,Hosa Road
113,other,1904.0,3.0,150.0,3,Keshava Nagar
114,Sarjapur,1242.5,2.0,43.49,2,Sarjapur
115,other,1425.0,2.0,75.0,3,Tejaswini Nagar
116,Electronic City,1500.0,2.0,64.5,3,Electronic City
117,Electronic City,1060.0,2.0,60.0,2,Electronic City
118,other,1470.0,2.0,70.0,3,Jai Bheema Nagar
119,Attibele,450.0,1.0,11.0,1,Attibele
120,Electronic City,1152.0,2.0,64.5,2,Electronic City
121,Electronic City,1350.0,2.0,56.0,3,Electronic City
122,CV Raman Nagar,1550.0,3.0,65.0,3,CV Raman Nagar
123,other,1500.0,3.0,100.0,3,CHIKKATIRUPATHI
124,Nagavara,400.0,1.0,14.0,1,Nagavara
125,Electronic City,770.0,1.0,36.0,2,Electronic City
126,Hulimavu,1242.0,2.0,51.0,2,Hulimavu
127,Vijayanagar,1704.0,3.0,110.0,3,Vijayanagar
128,Electronic City,1070.0,2.0,52.0,2,Electronic City
129,other,1340.0,2.0,55.7,2,Jakkuru Layout
130,Electronic City,1025.0,2.0,46.0,2,Electronic City
131,KR Puram,1277.5,2.0,56.8,2,KR Puram
132,Marathahalli,1200.0,2.0,52.0,2,Marathahalli
133,Pattandur Agrahara,1550.0,2.0,80.0,3,Pattandur Agrahara
134,Marathahalli,1200.0,2.0,60.0,2,Marathahalli
135,Yelahanka,1327.0,2.0,98.0,2,Yelahanka
136,Kothanur,1186.0,2.0,58.0,2,Kothanur
137,other,1783.0,3.0,115.0,3,MS Pallya
138,HSR Layout,1400.0,3.0,56.0,3,HSR Layout
139,Nagasandra,980.0,2.0,48.0,2,Nagasandra
140,EPIP Zone,1285.0,2.0,82.0,2,EPIP Zone
141,other,912.0,2.0,70.0,3,Langford Town
142,Whitefield,1225.0,2.0,47.6,2,Whitefield
143,Whitefield,1075.0,2.0,53.0,2,Whitefield
144,Kadugodi,1260.0,2.0,54.0,3,Kadugodi
145,Yelahanka,1282.0,2.0,48.7,3,Yelahanka
146,Kogilu,1909.0,3.0,88.0,3,Kogilu
147,Panathur,1359.0,2.0,87.0,2,Panathur
148,other,1207.0,2.0,43.5,2,Nagondanahalli
149,Kammasandra,1595.0,3.0,65.0,3,Kammasandra
150,other,1798.0,3.0,89.0,3,"Off Sarjapur Road,"
151,Electronics City Phase 1,1475.0,3.0,78.29,3,Electronics City Phase 1
152,other,1580.0,3.0,100.0,3,Tala Cauvery Layout
153,Dasarahalli,1295.0,2.0,65.0,2,Dasarahalli
154,Electronic City,589.0,1.0,27.0,1,Electronic City
155,other,1415.0,3.0,78.0,3,Ngef Layout
156,Sarjapur  Road,1787.0,3.0,98.29,3,Sarjapur  Road
157,Sarjapur  Road,1787.0,3.0,125.0,3,Sarjapur  Road
158,Koramangala,1475.0,2.0,90.0,3,Koramangala
159,Sarjapur  Road,984.0,2.0,44.28,2,Sarjapur  Road
160,Devanahalli,1630.0,2.0,74.82,3,Devanahalli
161,7th Phase JP Nagar,1080.0,2.0,72.0,2,7th Phase JP Nagar
162,other,1500.0,2.0,115.0,2,Shantiniketan Layout
